config                                         expected   result     states   check
CloseOrder_AscendingMatchesDeferred            violation  violation  12729    ok
CloseOrder_AscendingNoWorseThanDeferred        violation  violation  12948    ok
CloseOrder_DescendingMatchesDeferred           violation  violation  12241    ok
CloseOrder_DescendingMatchesDeferredOnReleases pass       pass       13755    ok
CloseOrder_DescendingNoWorseThanDeferred       pass       pass       13755    ok
ForkCleanup_cancel_first                       pass       pass       8        ok
ForkCleanup_files_first                        violation  violation  4        ok
TtyHangup_files_first_pty                      pass       pass       3        ok
TtyHangup_files_first_tty                      violation  violation  3        ok
TtyHangup_hangup_first_pty                     pass       pass       3        ok
TtyHangup_hangup_first_tty                     pass       pass       3        ok
VforkExec_deferred_flush                       violation  violation  4        ok
VforkExec_deferred_release                     pass       pass       7        ok
VforkExec_exit_route                           pass       pass       5        ok
VforkExec_sync_flush                           violation  violation  4        ok
VforkExec_sync_none                            pass       pass       7        ok
VforkExec_sync_release                         violation  violation  5        ok
