config                     expected   result       states     time         check
cdhole_fixed               pass       pass         13610181   22min57s     ok
cdhole_no_gate             violation  violation    124556     02s          ok
plain_fixed                pass       pass         344057583  19min06s     ok
plain_live                 pass       pass         25767521   50min21s     ok
plain_no_exec_cancel       violation  violation    86021532   04min36s     ok
plain_strict               violation  violation    787886     03s          ok
signals_fixed              pass       pass         30849827   34min10s     ok
signals_no_freezer         violation  violation    499037     03s          ok
signals_no_rcu             violation  violation    10096874   39s          ok
signals_no_retarget        violation  violation    2717607    11s          ok
signals_retarget_only      pass       pass         31011083   01min52s     ok
signals_sigpending_only    pass       pass         33225155   01min58s     ok
sqpoll_deadlock            violation  violation    1361804    01min08s     ok
sqpoll_fixed               pass       pass         3105865    05min30s     ok
sqpoll_mask_only           pass       pass         3105865    03min30s     ok
sqpoll_no_gate_signaled    violation  violation    30449      02s          ok
