config                       expected   result       states     time         check
exec_execfd_late             violation  violation    570        00s          ok
exec_execfd_late_lost        violation  violation    136        00s          ok
exec_fixed                   pass       pass         697        13s          ok
exec_handoff_late            violation  violation    707        00s          ok
exec_no_cold                 violation  violation    475        00s          ok
exec_pam_cg                  pass       pass         620        24s          ok
exec_pam_cg_stop             violation  violation    3105       20s          ok
exec_pam_cg_timeout          violation  violation    1726       30s          ok
exec_pam_cg_wait             pass       pass         5200       01min00s     ok
exec_pam_dropfail_cg         pass       pass         1070       34s          ok
exec_pam_mixed               violation  violation    708        16s          ok
exec_pam_nobarrier           violation  violation    1058       00s          ok
exec_pam_noclosefd           violation  violation    433        10s          ok
exec_pam_noppid              pass       pass         472        23s          ok
exec_pam_pidns               violation  violation    166        00s          ok
exec_pidns                   violation  violation    412        00s          ok
exec_pidns_fix               pass       pass         416        10s          ok
exec_pidns_stop              violation  violation    304        00s          ok
exec_pidns_stop_cg           pass       pass         4249       20s          ok
exec_remain                  pass       pass         703        16s          ok
exec_ul_late                 violation  violation    441        00s          ok
oneshot_fixed                pass       pass         498        03s          ok
oneshot_noremain             pass       pass         492        04s          ok
oneshot_pam_cg               pass       pass         492        07s          ok
simple_fixed                 pass       pass         220        03s          ok
simple_pam_cg                pass       pass         504        15s          ok
simple_pam_nobarrier         pass       pass         778        11s          ok
simple_pam_nobarrier_noppid  pass       pass         693        12s          ok
simple_pidns                 pass       pass         296        03s          ok
simple_pidns_late            violation  violation    196        00s          ok
simple_remain                pass       pass         223        04s          ok
