config                           expected   result       states     time         check
abl_no_awaitloop                 pass       pass         7595349    52s          ok
abl_no_childtramp                pass       pass         127384     01s          ok
abl_no_childtramp_floating       violation  violation    173        00s          ok
abl_no_cwuloop                   violation  violation    8583       01s          ok
abl_no_exitarmed                 violation  violation    10597      00s          ok
abl_no_exitarmed_cancel          violation  violation    29130      01s          ok
abl_no_freepending               pass       pass         7599185    51s          ok
abl_no_recancel                  violation  violation    231916     02s          ok
abl_no_recancel_exit             violation  violation    1337878    06s          ok
abl_no_sticky                    violation  violation    733        00s          ok
asis_all                         violation  violation    102168     01s          ok
asis_cwu_cancel_race             violation  violation    2395       00s          ok
asis_cwu_exit_race               violation  violation    1474       00s          ok
asis_cwu_sibling_race            violation  violation    2754       00s          ok
asis_lost_cancel                 violation  violation    166022     02s          ok
asis_lost_cancel_exit            violation  violation    991016     05s          ok
asis_smoke                       pass       pass         3992       00s          ok
asis_spurious_child              violation  violation    1088       00s          ok
asis_spurious_child_fails        violation  violation    1113       00s          ok
asis_stale_yield                 violation  violation    850        00s          ok
asis_stranded_floating_child     violation  violation    256        00s          ok
asis_uaf_floating_child          violation  violation    213        00s          ok
asis_void_deadline               violation  violation    725        00s          ok
asis_void_deadline_io            violation  violation    1729       00s          ok
asis_void_deadline_live          violation  violation    32         00s          ok
fixed_all                        pass       pass         7599185    53s          ok
fixed_all_live                   pass       pass         3158268    23min45s     ok
fixed_cancel                     pass       pass         59491397   07min53s     ok
fixed_cancel_live                pass       pass         1249099    11min22s     ok
fixed_children                   pass       pass         4798488    36s          ok
fixed_deadline                   pass       pass         1150018    07s          ok
fixed_deadline_live              pass       pass         617        01s          ok
fixed_exit                       pass       pass         1727332    14s          ok
fixed_floating                   pass       pass         6549933    18min10s     ok
fixed_four_fibers                pass       pass         58766279   09min03s     ok
fixed_idle                       pass       pass         5018441    17min16s     ok
fixed_ignore_errors              pass       pass         4943939    31s          ok
fixed_prio                       pass       pass         49491105   05min37s     ok
fixed_prio_child_low             pass       pass         62962033   07min46s     ok
